26
132
(0, 1)
(0, 7)
(0, 11)
(0, 14)
(0, 20)
(0, 24)
(1, 12)
(1, 25)
(2, 0)
(2, 6)
(2, 9)
(2, 13)
(2, 19)
(2, 22)
(3, 0)
(3, 9)
(3, 13)
(3, 22)
(4, 1)
(4, 5)
(4, 14)
(4, 18)
(5, 6)
(5, 19)
(6, 5)
(6, 9)
(6, 12)
(6, 18)
(6, 22)
(6, 25)
(7, 1)
(7, 14)
(8, 0)
(8, 2)
(8, 4)
(8, 13)
(8, 15)
(8, 17)
(9, 3)
(9, 5)
(9, 8)
(9, 10)
(9, 16)
(9, 18)
(9, 21)
(9, 23)
(10, 0)
(10, 1)
(10, 4)
(10, 13)
(10, 14)
(10, 17)
(11, 3)
(11, 4)
(11, 5)
(11, 7)
(11, 16)
(11, 17)
(11, 18)
(11, 20)
(12, 0)
(12, 7)
(12, 9)
(12, 13)
(12, 20)
(12, 22)
(13, 1)
(13, 7)
(13, 11)
(13, 14)
(13, 20)
(13, 24)
(14, 12)
(14, 25)
(15, 0)
(15, 6)
(15, 9)
(15, 13)
(15, 19)
(15, 22)
(16, 0)
(16, 9)
(16, 13)
(16, 22)
(17, 1)
(17, 5)
(17, 14)
(17, 18)
(18, 6)
(18, 19)
(19, 5)
(19, 9)
(19, 12)
(19, 18)
(19, 22)
(19, 25)
(20, 1)
(20, 14)
(21, 0)
(21, 2)
(21, 4)
(21, 13)
(21, 15)
(21, 17)
(22, 3)
(22, 5)
(22, 8)
(22, 10)
(22, 16)
(22, 18)
(22, 21)
(22, 23)
(23, 0)
(23, 1)
(23, 4)
(23, 13)
(23, 14)
(23, 17)
(24, 3)
(24, 4)
(24, 5)
(24, 7)
(24, 16)
(24, 17)
(24, 18)
(24, 20)
(25, 0)
(25, 7)
(25, 9)
(25, 13)
(25, 20)
(25, 22)
